Id,ActivityDateTime,Calories,Hour
1503960366,2016-03-12T00:00:00Z,48,0
1503960366,2016-03-12T01:00:00Z,48,1
1503960366,2016-03-12T02:00:00Z,48,2
1503960366,2016-03-12T03:00:00Z,48,3
1503960366,2016-03-12T04:00:00Z,48,4
1503960366,2016-03-12T05:00:00Z,48,5
1503960366,2016-03-12T06:00:00Z,48,6
1503960366,2016-03-12T07:00:00Z,48,7
1503960366,2016-03-12T08:00:00Z,48,8
1503960366,2016-03-12T09:00:00Z,49,9
1503960366,2016-03-12T10:00:00Z,89,10
1503960366,2016-03-12T11:00:00Z,134,11
1503960366,2016-03-12T12:00:00Z,130,12
1503960366,2016-03-12T13:00:00Z,81,13
1503960366,2016-03-12T14:00:00Z,254,14
1503960366,2016-03-12T15:00:00Z,271,15
1503960366,2016-03-12T16:00:00Z,141,16
1503960366,2016-03-12T17:00:00Z,104,17
1503960366,2016-03-12T18:00:00Z,54,18
1503960366,2016-03-12T19:00:00Z,97,19
1503960366,2016-03-12T20:00:00Z,58,20
1503960366,2016-03-12T21:00:00Z,100,21
1503960366,2016-03-12T22:00:00Z,123,22
1503960366,2016-03-12T23:00:00Z,111,23
1503960366,2016-03-13T00:00:00Z,55,0
1503960366,2016-03-13T01:00:00Z,48,1
1503960366,2016-03-13T02:00:00Z,50,2
1503960366,2016-03-13T03:00:00Z,48,3
1503960366,2016-03-13T04:00:00Z,48,4
1503960366,2016-03-13T05:00:00Z,48,5
1503960366,2016-03-13T06:00:00Z,48,6
1503960366,2016-03-13T07:00:00Z,49,7
1503960366,2016-03-13T08:00:00Z,49,8
1503960366,2016-03-13T09:00:00Z,56,9
1503960366,2016-03-13T10:00:00Z,189,10
1503960366,2016-03-13T11:00:00Z,270,11
1503960366,2016-03-13T12:00:00Z,52,12
1503960366,2016-03-13T13:00:00Z,66,13
1503960366,2016-03-13T14:00:00Z,57,14
1503960366,2016-03-13T15:00:00Z,89,15
1503960366,2016-03-13T16:00:00Z,91,16
1503960366,2016-03-13T17:00:00Z,61,17
1503960366,2016-03-13T18:00:00Z,237,18
1503960366,2016-03-13T19:00:00Z,146,19
1503960366,2016-03-13T20:00:00Z,87,20
1503960366,2016-03-13T21:00:00Z,66,21
1503960366,2016-03-13T22:00:00Z,72,22
1503960366,2016-03-13T23:00:00Z,118,23
1503960366,2016-03-14T00:00:00Z,56,0
1503960366,2016-03-14T01:00:00Z,54,1
1503960366,2016-03-14T02:00:00Z,49,2
1503960366,2016-03-14T03:00:00Z,48,3
1503960366,2016-03-14T04:00:00Z,48,4
1503960366,2016-03-14T05:00:00Z,49,5
1503960366,2016-03-14T06:00:00Z,48,6
1503960366,2016-03-14T07:00:00Z,53,7
1503960366,2016-03-14T08:00:00Z,68,8
1503960366,2016-03-14T09:00:00Z,199,9
1503960366,2016-03-14T10:00:00Z,59,10
1503960366,2016-03-14T11:00:00Z,72,11
1503960366,2016-03-14T12:00:00Z,66,12
1503960366,2016-03-14T13:00:00Z,54,13
1503960366,2016-03-14T14:00:00Z,59,14
1503960366,2016-03-14T15:00:00Z,71,15
1503960366,2016-03-14T16:00:00Z,68,16
1503960366,2016-03-14T17:00:00Z,76,17
1503960366,2016-03-14T18:00:00Z,96,18
1503960366,2016-03-14T19:00:00Z,100,19
1503960366,2016-03-14T20:00:00Z,124,20
1503960366,2016-03-14T21:00:00Z,67,21
1503960366,2016-03-14T22:00:00Z,48,22
1503960366,2016-03-14T23:00:00Z,198,23
1503960366,2016-03-15T00:00:00Z,56,0
1503960366,2016-03-15T01:00:00Z,55,1
1503960366,2016-03-15T02:00:00Z,54,2
1503960366,2016-03-15T03:00:00Z,48,3
1503960366,2016-03-15T04:00:00Z,49,4
1503960366,2016-03-15T05:00:00Z,48,5
1503960366,2016-03-15T06:00:00Z,49,6
1503960366,2016-03-15T07:00:00Z,49,7
1503960366,2016-03-15T08:00:00Z,91,8
1503960366,2016-03-15T09:00:00Z,148,9
1503960366,2016-03-15T10:00:00Z,92,10
1503960366,2016-03-15T11:00:00Z,104,11
1503960366,2016-03-15T12:00:00Z,142,12
1503960366,2016-03-15T13:00:00Z,77,13
1503960366,2016-03-15T14:00:00Z,107,14
1503960366,2016-03-15T15:00:00Z,77,15
1503960366,2016-03-15T16:00:00Z,96,16
1503960366,2016-03-15T17:00:00Z,90,17
1503960366,2016-03-15T18:00:00Z,82,18
1503960366,2016-03-15T19:00:00Z,75,19
1503960366,2016-03-15T20:00:00Z,207,20
1503960366,2016-03-15T21:00:00Z,131,21
1503960366,2016-03-15T22:00:00Z,108,22
1503960366,2016-03-15T23:00:00Z,76,23
1503960366,2016-03-16T00:00:00Z,48,0
1503960366,2016-03-16T01:00:00Z,48,1
1503960366,2016-03-16T02:00:00Z,50,2
1503960366,2016-03-16T03:00:00Z,48,3
1503960366,2016-03-16T04:00:00Z,48,4
1503960366,2016-03-16T05:00:00Z,49,5
1503960366,2016-03-16T06:00:00Z,48,6
1503960366,2016-03-16T07:00:00Z,56,7
1503960366,2016-03-16T08:00:00Z,91,8
1503960366,2016-03-16T09:00:00Z,125,9
1503960366,2016-03-16T10:00:00Z,73,10
1503960366,2016-03-16T11:00:00Z,105,11
1503960366,2016-03-16T12:00:00Z,124,12
1503960366,2016-03-16T13:00:00Z,79,13
1503960366,2016-03-16T14:00:00Z,61,14
1503960366,2016-03-16T15:00:00Z,86,15
1503960366,2016-03-16T16:00:00Z,103,16
1503960366,2016-03-16T17:00:00Z,122,17
1503960366,2016-03-16T18:00:00Z,166,18
1503960366,2016-03-16T19:00:00Z,59,19
1503960366,2016-03-16T20:00:00Z,72,20
1503960366,2016-03-16T21:00:00Z,146,21
1503960366,2016-03-16T22:00:00Z,78,22
1503960366,2016-03-16T23:00:00Z,82,23
1503960366,2016-03-17T00:00:00Z,70,0
1503960366,2016-03-17T01:00:00Z,50,1
1503960366,2016-03-17T02:00:00Z,49,2
1503960366,2016-03-17T03:00:00Z,48,3
1503960366,2016-03-17T04:00:00Z,48,4
1503960366,2016-03-17T05:00:00Z,48,5
1503960366,2016-03-17T06:00:00Z,49,6
1503960366,2016-03-17T07:00:00Z,50,7
1503960366,2016-03-17T08:00:00Z,67,8
1503960366,2016-03-17T09:00:00Z,125,9
1503960366,2016-03-17T10:00:00Z,69,10
1503960366,2016-03-17T11:00:00Z,148,11
1503960366,2016-03-17T12:00:00Z,70,12
1503960366,2016-03-17T13:00:00Z,113,13
1503960366,2016-03-17T14:00:00Z,119,14
1503960366,2016-03-17T15:00:00Z,86,15
1503960366,2016-03-17T16:00:00Z,94,16
1503960366,2016-03-17T17:00:00Z,66,17
1503960366,2016-03-17T18:00:00Z,76,18
1503960366,2016-03-17T19:00:00Z,158,19
1503960366,2016-03-17T20:00:00Z,75,20
1503960366,2016-03-17T21:00:00Z,146,21
1503960366,2016-03-17T22:00:00Z,97,22
1503960366,2016-03-17T23:00:00Z,118,23
1503960366,2016-03-18T00:00:00Z,76,0
1503960366,2016-03-18T01:00:00Z,58,1
