Id,SleepDate,logId,SleepStart,SleepEnd,TotalMinutesAsleep,MinutesAwake,SleepEfficiency
1503960366,2016-03-13,11114919637,2016-03-13T02:39:30Z,2016-03-13T09:44:30Z,426,0,100
1503960366,2016-03-14,11126343681,2016-03-14T01:32:00Z,2016-03-14T07:57:00Z,381,5,98.70466321243524
1503960366,2016-03-15,11134971215,2016-03-15T02:36:00Z,2016-03-15T08:10:00Z,328,7,97.91044776119404
1503960366,2016-03-16,11142197163,2016-03-16T03:12:00Z,2016-03-16T08:14:00Z,298,5,98.34983498349835
1503960366,2016-03-16,11142197164,2016-03-16T19:43:00Z,2016-03-16T20:45:00Z,63,0,100
1503960366,2016-03-17,11150938241,2016-03-17T01:16:00Z,2016-03-17T08:32:00Z,436,1,99.77116704805492
1503960366,2016-03-18,11158035737,2016-03-18T01:36:00Z,2016-03-18T08:26:00Z,405,6,98.54014598540147
1503960366,2016-03-19,11162426404,2016-03-19T00:08:30Z,2016-03-19T07:55:30Z,467,1,99.78632478632478
1503960366,2016-03-20,11171977262,2016-03-20T01:08:00Z,2016-03-20T09:03:00Z,476,0,100
1503960366,2016-03-21,11183536407,2016-03-21T01:08:00Z,2016-03-21T08:14:00Z,420,7,98.36065573770492
1503960366,2016-03-23,11201455191,2016-03-23T02:33:30Z,2016-03-23T07:29:30Z,294,3,98.98989898989899
1503960366,2016-03-24,11212648378,2016-03-24T02:33:30Z,2016-03-24T08:16:30Z,340,4,98.83720930232558
1503960366,2016-03-25,11220084662,2016-03-25T01:56:00Z,2016-03-25T08:21:00Z,383,3,99.22279792746113
1503960366,2016-03-26,11227525796,2016-03-26T01:56:00Z,2016-03-26T09:32:00Z,455,2,99.56236323851203
1503960366,2016-03-27,11232921147,2016-03-26T23:45:00Z,2016-03-27T00:46:00Z,60,2,96.7741935483871
1503960366,2016-03-27,11232921148,2016-03-27T01:15:00Z,2016-03-27T03:23:00Z,125,4,96.89922480620154
1503960366,2016-03-27,11232921149,2016-03-27T03:33:00Z,2016-03-27T09:02:00Z,330,0,100
1503960366,2016-03-28,11240685157,2016-03-28T00:40:00Z,2016-03-28T01:56:00Z,77,0,100
1503960366,2016-03-29,11251719164,2016-03-29T02:06:30Z,2016-03-29T08:23:30Z,374,4,98.94179894179894
1503960366,2016-03-31,11274301836,2016-03-31T02:46:30Z,2016-03-31T08:21:30Z,335,1,99.70238095238095
1503960366,2016-04-01,11282542615,2016-04-01T03:17:30Z,2016-04-01T08:22:30Z,302,4,98.69281045751634
1503960366,2016-04-02,11290468616,2016-04-02T00:58:30Z,2016-04-02T09:26:30Z,497,12,97.64243614931237
1503960366,2016-04-03,11298416623,2016-04-03T02:29:00Z,2016-04-03T09:34:00Z,419,7,98.35680751173709
1503960366,2016-04-04,11309008620,2016-04-04T02:32:00Z,2016-04-04T08:08:00Z,325,12,96.439169139465875
1503960366,2016-04-05,11317836737,2016-04-05T03:21:30Z,2016-04-05T08:29:30Z,304,5,98.38187702265373
1503960366,2016-04-09,11348663949,2016-04-09T03:02:00Z,2016-04-09T09:48:00Z,404,3,99.26289926289927
1503960366,2016-04-10,11360475318,2016-04-10T03:27:00Z,2016-04-10T11:24:00Z,476,2,99.581589958159
1503960366,2016-04-11,11370708329,2016-04-11T03:00:00Z,2016-04-11T08:28:00Z,326,3,99.08814589665653
1644430081,2016-03-28,11247034534,2016-03-27T15:45:00Z,2016-03-28T07:45:00Z,940,21,97.81477627471385
1644430081,2016-03-30,11263177587,2016-03-29T21:59:00Z,2016-03-30T13:59:00Z,873,88,90.84287200832466
1844505072,2016-04-04,11307034191,2016-04-03T20:50:00Z,2016-04-04T12:50:00Z,940,21,97.81477627471385
1844505072,2016-04-10,11355174555,2016-04-09T13:24:00Z,2016-04-10T05:24:00Z,842,119,87.61706555671176
1927972279,2016-03-12,11105099810,2016-03-11T23:24:00Z,2016-03-12T08:41:00Z,557,1,99.82078853046595
1927972279,2016-03-12,11109334617,2016-03-12T19:43:00Z,2016-03-12T20:44:00Z,62,0,100
1927972279,2016-03-13,11110990524,2016-03-12T23:16:00Z,2016-03-13T05:26:00Z,369,2,99.46091644204851
1927972279,2016-03-13,11115019084,2016-03-13T10:19:00Z,2016-03-13T13:07:00Z,166,3,98.22485207100591
1927972279,2016-03-14,11118737661,2016-03-13T23:40:00Z,2016-03-14T01:07:00Z,87,1,98.86363636363636
1927972279,2016-03-14,11122236743,2016-03-14T05:58:00Z,2016-03-14T07:48:00Z,111,0,100
1927972279,2016-03-15,11127355549,2016-03-15T02:24:00Z,2016-03-15T03:31:00Z,68,0,100
1927972279,2016-03-16,11137138659,2016-03-16T00:27:00Z,2016-03-16T06:46:00Z,375,5,98.68421052631578
1927972279,2016-03-16,11139857046,2016-03-16T08:36:00Z,2016-03-16T11:54:00Z,199,0,100
1927972279,2016-03-16,11142688393,2016-03-16T22:46:00Z,2016-03-16T23:51:00Z,66,0,100
1927972279,2016-03-18,11151587517,2016-03-17T23:54:00Z,2016-03-18T02:33:00Z,160,0,100
1927972279,2016-03-18,11155342998,2016-03-18T04:04:00Z,2016-03-18T10:13:00Z,366,4,98.91891891891892
1927972279,2016-03-19,11160088163,2016-03-18T23:31:00Z,2016-03-19T06:35:00Z,421,4,99.05882352941177
1927972279,2016-03-19,11163052450,2016-03-19T07:58:00Z,2016-03-19T11:00:00Z,183,0,100
1927972279,2016-03-20,11167173782,2016-03-19T23:28:00Z,2016-03-20T04:09:00Z,275,7,97.51773049645391
1927972279,2016-03-20,11170033378,2016-03-20T05:48:00Z,2016-03-20T10:02:00Z,255,0,100
1927972279,2016-03-21,11177038127,2016-03-20T22:49:30Z,2016-03-21T05:51:30Z,423,0,100
1927972279,2016-03-22,11187375410,2016-03-22T02:35:00Z,2016-03-22T09:08:00Z,390,4,98.98477157360406
1927972279,2016-03-23,11196263954,2016-03-23T01:24:30Z,2016-03-23T07:50:30Z,385,2,99.48320413436691
1927972279,2016-03-24,11204042538,2016-03-23T22:33:00Z,2016-03-24T02:09:00Z,215,2,99.07834101382488
1927972279,2016-03-24,11207053721,2016-03-24T03:20:00Z,2016-03-24T08:26:00Z,306,1,99.6742671009772
